'Tuesday','July','12','2016','19:45:00','126.52','16.69','NA','16.70','13.07','200.78','470.22','6.66','46.19','5.44','109.47'
'Tuesday','July','12','2016','19:45:00','126.52','16.69','NA','16.70','13.07','200.78','470.22','6.66','46.19','5.44','109.47'
'Tuesday','July','12','2016','20:45:00','144.80','19.91','NA','20.77','9.95','198.56','434.07','11.90','65.08','7.02','169.18'
'Tuesday','July','12','2016','20:45:00','144.80','19.91','NA','20.77','9.95','198.56','434.07','11.90','65.08','7.02','169.18'
'Tuesday','July','12','2016','21:15:00','152.77','18.44','NA','23.14','10.39','198.81','434.07','13.04','67.84','8.09','169.18'
'Tuesday','July','12','2016','21:15:00','152.77','18.44','NA','23.14','10.39','198.81','434.07','13.04','67.84','8.09','169.18'
'Tuesday','July','12','2016','21:45:00','175.04','22.15','NA','21.88','10.82','217.13','434.07','17.94','70.33','6.25','169.18'
'Tuesday','July','12','2016','21:45:00','175.04','22.15','NA','21.88','10.82','217.13','434.07','17.94','70.33','6.25','169.18'
'Tuesday','July','12','2016','22:15:00','176.79','23.26','NA','10.51','10.67','202.85','434.07','15.69','68.95','6.56','169.18'
'Tuesday','July','12','2016','22:15:00','176.79','23.26','NA','10.51','10.67','202.85','434.07','15.69','68.95','6.56','169.18'
'Tuesday','July','12','2016','22:45:00','188.31','24.87','NA','7.20','11.39','180.94','434.07','12.95','63.88','15.04','169.18'
'Tuesday','July','12','2016','22:45:00','188.31','24.87','NA','7.20','11.39','180.94','434.07','12.95','63.88','15.04','169.18'
'Tuesday','July','12','2016','23:15:00','177.09','24.00','NA','11.34','10.82','176.44','434.07','13.88','73.07','21.07','169.18'
'Tuesday','July','12','2016','23:15:00','177.09','24.00','NA','11.34','10.82','176.44','434.07','13.88','73.07','21.07','169.18'
'Tuesday','July','12','2016','23:45:00','208.51','24.35','NA','15.91','10.68','207.69','434.07','16.05','69.68','14.81','169.18'
'Tuesday','July','12','2016','23:45:00','208.51','24.35','NA','15.91','10.68','207.69','434.07','16.05','69.68','14.81','169.18'
'Tuesday','July','12','2016','23:45:00','208.51','24.35','NA','15.91','10.68','207.69','434.07','16.05','69.68','14.81','169.18'
'Tuesday','July','12','2016','23:45:00','208.51','24.35','NA','15.91','10.68','207.69','434.07','16.05','69.68','14.81','169.18'
'Wednesday','July','13','2016','00:45:00','221.87','17.09','NA','25.45','11.24','201.79','292.65','3.81','29.93','14.56','159.81'
'Wednesday','July','13','2016','00:45:00','221.87','17.09','NA','25.45','11.24','201.79','292.65','3.81','29.93','14.56','159.81'
